az	telepules	utca
1	Kvros	Gyimes u. 83.
2	Zldhely	Brc u. 96.
3	Barackfalva	Erdss u. 18.
4	Kksg	Asz u. 33.
5	Kvros	Agyag u. 71.
6	Kksg	Csokor u. 4.
7	Zldhely	Gz tr 95.
8	Srgahegy	Fnk u. 55.
9	Srgahegy	Feny u. 24.
10	Srgahegy	Csell u. 25.
11	Kvros	Felvidk u. 64.
12	Barackfalva	Avar u. 89.
13	Kvros	lds u. 25.
14	Kksg	Katica u. 56.
15	Zldhely	Jupiter u. 54.
16	Barackfalva	Bza u. 45.
17	Barackfalva	Csng u. 101.
18	Barackfalva	Csend u. 72.
19	Kksg	Bajor u. 95.
20	Srgahegy	Gyimes u. 84.
21	Barackfalva	Hatr u. 21.
22	Srgahegy	Kavics u. 103.
23	Kksg	Kr u. 21.
24	Barackfalva	Csatr u. 93.
25	Kvros	Hr u. 34.
26	Srgahegy	Bicska u. 19.
27	Barackfalva	Citrus u. 61.
28	Barackfalva	F u. 30.
29	Barackfalva	Hr u. 15.
30	Srgahegy	Csords u. 30.
31	Srgahegy	Bcskai u. 79.
32	Kksg	Arnold u. 53.
33	Barackfalva	Akna u. 51.
34	Barackfalva	lloms u. 58.
35	Srgahegy	Furulya u. 24.
36	Srgahegy	Gz u. 87.
37	Barackfalva	Aknsz u. 101.
38	Kvros	Harcsa u. 2.
39	Kvros	Delfin u. 21.
40	Kksg	Gbics u. 11.
41	Kksg	Bla u. 21.
42	Kksg	Barlang u. 49.
43	Kvros	Berek u. 16.
44	Kksg	Igl u. 58.
45	Barackfalva	Kk u. 51.
46	Zldhely	Alom u. 52.
47	Kksg	Igl u. 45.
48	Zldhely	Kszeg u. 37.
49	Kksg	Kincs u. 78.
50	Srgahegy	Bend u. 22.
51	Kvros	Kajak u. 62.
52	Kvros	Bcskai u. 75.
53	Srgahegy	Angol u. 12.
54	Zldhely	Hableny u. 74.
55	Kvros	Feny u. 41.
56	Barackfalva	Hatty u. 67.
57	Barackfalva	Juhos u. 80.
58	Kksg	Kard u. 27.
59	Kvros	Fcn u. 44.
60	Barackfalva	mor u. 55.
61	Srgahegy	Kemny u. 51.
62	Zldhely	gnes u. 4.
63	Kksg	Abajvr u. 99.
64	Zldhely	Kapitny u. 40.
65	Srgahegy	Drgely u. 33.
66	Barackfalva	Hermina u. 68.
67	Zldhely	Csell u. 53.
68	Zldhely	Csizmadia u. 34.
69	Kksg	Edison u. 29.
70	Barackfalva	Kzraktr u. 86.
71	Srgahegy	Domb u. 16.
72	Kksg	k u. 59.
73	Kvros	Baka u. 92.
74	Srgahegy	Ak u. 19.
75	Zldhely	Almavirg u. 57.
76	Barackfalva	Farkas u. 6.
77	Kksg	Khd u. 4.
78	Barackfalva	Kapitny u. 72.
79	Kksg	Csibor u. 20.
80	Zldhely	Gyrk u. 62.
81	Kvros	Janicsr u. 52.
82	Barackfalva	Cvek u. 45.
83	Barackfalva	Angol u. 57.
84	Barackfalva	Grbe u. 103.
85	Srgahegy	Bnyalg u. 6.
86	Kksg	Jsz u. 74.
87	Zldhely	Darzs u. 88.
88	Zldhely	Cegldi u. 52.
89	Kksg	Fklya u. 98.
90	Kksg	Ak u. 60.
91	Barackfalva	Bokor u. 83.
92	Zldhely	Brav u. 89.
93	Kvros	Gyoma u. 35.
94	Kksg	Gyimes u. 42.
95	Kvros	Fert u. 54.
96	Barackfalva	rpd u. 41.
97	Kvros	Janka u. 95.
98	Kvros	Barabs u. 3.
99	Kksg	Kalz u. 46.
100	Kvros	Hint u. 22.
101	Srgahegy	Balkn u. 65.
102	Srgahegy	den u. 56.
103	Kksg	Kk u. 91.
104	Barackfalva	Horog u. 33.
105	Barackfalva	ldoms u. 42.
106	Kksg	Ers u. 92.
107	Zldhely	Csall u. 64.
108	Kvros	Bnyalg u. 22.
109	Srgahegy	Akadmia u. 45.
110	Srgahegy	Csatr u. 71.
111	Srgahegy	Baracska u. 93.
112	Srgahegy	Forrs u. 38.
113	Kksg	Brka u. 105.
